Sr.,Taxpayer Name,Registration No.,Tax Paid
2934,ALI AKBAR MARKETING (PRIVATE) LIMITED,2221461,-
2935,ALI AKBAR SEEDS (PRIVATE) LIMITED,3617446,"5,233,338"
2936,ALI AKBAR SPINNING MILLS LIMITED,658173,"7 69,935"
2937,ALI AKBAR TEXTILES (PRIVATE) LIMITED,2203246,"9,988,488"
2938,ALI AKHLAQ PVT LIMITED,4433278,"1,127,334"
2939,ALI AND BILAL HAJJ GROUP (PRIVATE) LIMITED,4250534,"29,236"
2940,ALI AND KHALID KARWAN-E-IBRAHEEM (PVT.) LIMITED,2461822,"17,806"
2941,ALI ASGHAR TEXTILE MILLS LIMITED,698049,"2 71,737"
2942,ALI ASSOCIATES (PRIVATE) LIMITED,1018789,-
2943,ALI AZIZ TRAVELS & TOURS (PRIVATE) LIMITED,3155214,-
2944,ALI BARKAT SCHOOL & EDUCATION FOUNDATION,3226700,-
2945,ALI BHAGAT BUILDERS (PRIVATE) LIMITED,7554716,-
2946,ALI BHAI AND SONS (PRIVATE) LIMITED,4377115,"1,422,800"
2947,ALI BUILDERS (PRIVATE) LIMITED,2806839,-
2948,ALI BUSINESS MACHINES (PRIVATE) LIMITED,800586,"3 53,288"
2949,ALI CABLES PVT LTD,2982036,"1 39,545"
2950,ALI CASTING (PRIVATE) LIMITED,3949456,-
2951,ALI CONTAINERS (PRIVATE) LIMITED,3153782,"9,406,061"
2952,ALI CONTRACTORS (PRIVATE) LIMITED,7530054,-
2953,ALI DANYAL INDUSTRIES (PRIVATE) LIMITED,3026739,"13,095,708"
2954,ALI EDUCATIONAL TRUST,1991481,-
2955,ALI EMBROIDERY MILLS (PRIVATE) LIMITED STAFF PROVIDENT FUND,4207319,-
2956,ALI EMBROIDRY MILLS ( (PRIVATE)) LIMITED,786131,"7,512,037"
2957,ALI ENTERPRISES (PRIVATE) LIMITED,231231,-
2958,ALI FLOUR & GENERAL MILLS (PRIVATE) LIMITED,173,-
2959,ALI GLASS INDUSTRIES (PRIVATE) LIMITED,709566,"5 74,946"
2960,ALI GOHAR & COMPANY (PRIVATE) LIMITED.,709567,"269,096,319"
2961,ALI HAIDER OIL & GHEE INDUSTRIES (PVT.) LIMITED,7157279,-
2962,ALI HAJVERI FREE DRUG BANK,7185371,-
2963,ALI HAJVERI TEXTILES (PVT.) LIMITED,1283475,-
2964,ALI HAJVERY FLOUR MILLS (PRIVATE) LIMITED,4017254,"2,791,080"
2965,ALI HAJWARI TRAVELS & TOUR OPERATORS (PRIVATE) LIMITED,7606646,"37,500"
2966,ALI HAMZA CORPORATION (PRIVATE) LIMITED,7542000,"6 18,131"
2967,ALI HAQ SPINNING (PRIVATE) LIMITED,658199,"3 33,037"
2968,ALI HASAN MANGI MEMORIAL TRUST,3083415,"27,800"
2969,ALI HUSAIN RAJABALI LIMITED,1006671,"2,157,599"
2970,ALI HYDER INDUSTRIES PV LIMITED,2956436,-
2971,ALI IMPEX INTERNATIONAL (SMC  PVT) LIMITED,4242859,-
2972,ALI IMTIAZ TEXTILE MILLS (PRIVATE) LIMITED,2993258,-
2973,ALI INDUSTRIES (PVT) LTD,1344412,-
2974,ALI INSTITUTE OF EDUCATION,3617212,-
2975,ALI INTERNATIONAL PACKERS (PRIVATE) LIMITED,3074350,"4 86,331"
2976,ALI IQBAL TEXTILES PRIVATE LIMITED,4425546,"4 08,937"
2977,ALI LEATHER WORKS (PRIVATE) LIMITED,1294732,"5 13,391"
2978,ALI MACHINE TOOL COMPANY (PRIVATE) LIMITED,3362061,"3,826,710"
2979,ALI MEDI COMPLEX (PRIVATE) LIMITED,3075757,"19,166"
2980,ALI MEDICAL CENTRE LIMITED,656580,"18,031,568"
2981,ALI MOHD RASHID FAZAL TRUST,3237699,-
2982,ALI MURTAZA & COMPANY (PRIVATE) LIMITED,2553604,"1,322,200"
2983,ALI MURTAZA ASSOCIATES (PRIVATE) LIMITED,709571,"59,460,529"
2984,ALI MURTAZA ASSOCIATES (PRIVATE) LIMITED-EMPLOYEES PROVIDENT FUND,7224848,-
2985,ALI NASEER & COMPANY (PRIVATE) LIMITED,709572,-
2986,ALI NAWAZ MAHAR CHARITABLE TRUST,4399227,-
2987,ALI PACKAGES (PRIVATE) LIMITED,7556146,"9 29,578"
2988,ALI PETROLEUMS AND GAS COMPANY (PRIVATE) LIMITED,8938778,-
2989,ALI POLYMER INDUSTRIES (PVT.) LIMITED,7109243,-
2990,ALI PRINTPACK (PRIVATE) LIMITED,3773740,"2,102,369"
2991,ALI RAZA ENTERPRISES (PRIVATE) LIMITED,3633089,-
2992,ALI RAZA INDUSTRIES (PRIVATE) LIMITED,1851718,-
2993,ALI RAZA TEXTILE MILLS (PRIVATE) LIMITED,2637756,"7 62,105"
2994,ALI REZA LIMTED,4299886,"35,606,856"
2995,ALI SARWAR & SONS (PRIVATE) LIMITED,7942492,-
2996,ALI SAULEH DEVELOPERS & BUILDERS (PVT.) LIMITED,7460424,-
2997,ALI SECURITIES (PRIVATE) LIMITED,3023481,-
2998,ALI SERVICES (PRIVATE) LIMITED,657280,-
2999,ALI SHAHBAZ FLOUR & GENERAL MILLS (PRIVATE) LIMITED,1348573,"1,839,563"
3000,ALI SHERZAI TRAVEL & TOURS (PRIVATE) LIMITED,3543512,-
3001,ALI STAR FARM SERVICES (PVT.) LIMITED,7424518,-
3002,ALI STEEL INDUSTRIES (PVT) LTD,4103102,-
3003,ALI TEXTILE (JHANG) LIMITED,3043373,"5,045"
3004,ALI TRADING COMPANY(PRIVATE) LIMITED,388094,"14,502,119"
3005,ALI TRUST PAKISTAN,4223088,-
3006,ALI WELFARE TRUST HOSPITAL,7571541,-
3007,ALI WIQAR CONSTRUCTION (SMC-PRIVATE) LIMITED,7988700,-
3008,ALI ZAFAR FOUNDATION,7245051,-
3009,ALI ZAFAR TRAVEL & TOURS (PRIVATE) LIMITED,4168380,"21,554"
3010,ALI ZAI HAJJ & UMRAH SERVICES (PRIVATE) LIMITED,2906924,-
3011,ALI ZAIB FOUNDATION,1872879,-
3012,ALI ZAMAN (PVT.) LIMITED,7167293,"4,022,568"
3013,ALI ZAR KHAN TRADERS (PRIVATE) LIMITED,4396955,"5 60,450"
3014,ALIA EXPORTS (PRIVATE) LIMITED,1343636,-
3015,ALIA IMPEX (PRIVATE) LIMITED,1311204,"7 37,083"
3016,ALIA MUNAWAR TRUST,3827108,-
3017,ALICIA BUSINESS CONSULTING (PRIVATE) LIMITED,7921238,-
3018,ALICIA TRADING COMPANY (PRIVATE) LIMITED,2932960,-
3019,ALICO TECH (PVT.) LIMITED,7206248,-
3020,ALICO TEXTILE ACCESSORIES (PRIVATE) LIMITED,709573,"2,443,437"
3021,ALIF AGRO (PRIVATE) LIMITED,8933254,-
3022,ALIF INDUSTRY (SMC-PVT.) LIMITED,7273433,-
3023,ALIF KHAN AND SONS CONSTRUCTION COMPANY PRIVATE LIMITED,4350476,-
3024,ALIF KITAB PUBLICATIONS (PRIVATE) LIMITED,7963861,"8,975"
3025,ALIF LAM MEEM TRAVELS (PVT.) LIMITED,5277360,"5,109"
3026,ALIF NOON PARENTS FOUNDATION,4381572,-
3027,ALIF PROPERTIES (PRIVATE) LIMITED,1748245,-
3028,ALI-FRASAT TRAVEL AND CONSULTANTS (PRIVATE) LIMITED,8917957,"22,650"
3029,ALIGARH MUSLIM UNIVERSITY OLD BOYS COOPERATIVE HOUSING SOCIETY LIMITED,4262879,-
3030,ALIGHT MINDS (PRIVATE) LIMITED,7960739,-
3031,AL-ILM EDUCATIONAL & WELFARE FOUNDATION,7919379,-
3032,AL-IMDAD TRAVELS (PRIVATE) LIMITED,2669376,"6 68,524"
3033,AL-IMRAN FLOUR & GENERAL MILLS (PRIVATE) LIMITED,4383898,"3,517,265"
3034,AL-IMRAN IMPEX (PRIVATE) LIMITED,3784595,"3,134,011"
3035,AL-IMTIAZ ACADEMY,3765366,"20,065"
3036,AL-IMTIAZ HAJJ & UMRAH SERVICES (PRIVATE) LIMITED,2902563,-
3037,ALINA COMBINE PHARMACEUTICALS (PRIVATE) LIMITED,676409,"5 36,749"
3038,ALINA PHARMACEUTICAL (PRIVATE) LIMITED,709574,-
3039,ALINA SPORTS MFG CO (PRIVATE) LIMITED,1808403,"4 06,483"
3040,ALINTCO (PRIVATE) LIMITED,700019,"55,489"
3041,ALIPUR JUTE MILLS LIMITED,709575,-
3042,ALIS EXPORTS (PRIVATE) LIMITED,7583371,-
3043,ALISH ART (PRIVATE) LIMITED,2238847,-
3044,ALISHA TRAVEL & TOURS (PRIVATE) LIMITED,4265559,-
3045,ALISHBA TRAVEL & TOURS (PRIVATE) LIMITED,4009320,"39,794"
3046,ALISHVERISH ENTERPRISES (PRIVATE) LIMITED,4439245,"99,552"
3047,ALISONS NOBLE (PRIVATE) LIMITED,709576,"2,902,019"
3048,AL-ISRAJ INTERNATIONAL TRAVELS (PRIVATE) LIMITED.,2466098,"2 81,442"
3049,ALITAS (PRIVATE) LIMITED,709577,-
3050,ALIVE ASIA (PRIVATE) LIMITED,3559069,-
3051,ALIVE BROADCASTING COMPANY PVT. LTD.,2854654,"67,417"
3052,ALIYA B (PVT.) LIMITED,7210584,"9,269"
3053,ALIYA SADAF MEMORIAL TRUST,3704838,-
3054,ALIYAAN PHARMACEUTICALS (PRIVATE) LIMITED,8905174,-
3055,ALIZ CORPORATE ADVISORY SERVICES (PRIVATE) LIMITED,3036443,"3 00,000"
3056,ALIZ INTERNALTIONAL (PRIVATE) LIMITED,2494599,-
3057,ALIZA TOUR & TRAVELS (PRIVATE) LIMITED,2673189,-
3058,ALIZAAA (SMC-PVT.) LIMITED,7400846,-
3059,ALIZAI DAL MILLS (PRIVATE) LIMITED,3281376,-
3060,ALIZA'S FOODS (PRIVATE) LIMITED,2143529,"9 18,146"
3061,AL-JAARIA HAJJ & UMRA SERVICES (PRIVATE) LIMITED,3154701,-
3062,AL-JABAL FOOD REPROCESSING UNIT (PRIVATE) LIMITED,2889365,-
3063,AL-JABBAR ANJUM TRAVELS (PVT.) LIMITED,7257284,"18,015"
3064,AL-JABBAR TRAVEL & TOUR (PRIVATE) LIMITED,2747470,-
3065,AL-JABEEN HAJJ & UMRAH SERVICES (PRIVATE) LIMITED,2911533,-
3066,AL-JADOON TRADERS(PRIVATE) LIMITED,4234227,-
3067,AL-JANNAH TRAVEL & TOURS (PRIVATE) LIMITED,2670466,"21,713"
3068,AL-JANNAT HAJ SERVICES (PRIVATE) LIMITED,2459989,-
3069,AL-JANNAT MARKETING (PRIVATE) LIMITED,3133187,-
3070,AL-JANNAT PROCESSING MILLS (PRIVATE) LIMITED,2005093,"1,312,994"
3071,AL-JANNAT SWEETS & BAKERS (PRIVATE) LIMITED,2554614,"27,228"
3072,AL-JANNAT WELFARE SOCIETY,7152714,-
3073,AL-JANNAT WELFARE TRUST,3782930,-
3074,AL-JASMIN (PRIVATE) LIMITED,1459067,-
3075,AL-JASR PAKISTAN (PRIVATE) LIMITED,3972844,"72,250,095"
3076,ALJAZEERA MEDIA NETWORK,3782776,-
3077,AL-JAZEERA TRAVELS (PRIVATE) LIMITED,4005230,"2 42,107"
3078,AL-JAZEERA-TUL-ARAB TRAVEL (PVT) LIMITED,4393924,"21,980"
3079,AL-JAZI TRAVELS & TOURS (PVT) LIMITED,3980835,"19,804"
3080,AL-JEHAN FLOUR MILLS (PRIVATE) LIMITED,2826905,"6 25,080"
3081,AL-JIBRA (PVT.) LIMITED,7165040,"2,115,643"
3082,AL-JILANI TEXTILE INDUSTRIES (PRIVATE) LIMITED,2005690,"2,518,123"
3083,AL-JIN (PRIVATE) LIMITED,3980648,-
3084,AL-JOHRA TRAVEL AND TOURS (PRIVATE) LIMITED.,2667169,"8 25,628"
3085,AL-JUMMA (PRIVATE) LIMITED,4016037,-
3086,ALKA (PRIVATE) LIMITED,1312902,"35,803,484"
3087,ALKA TOWELTEX (PRIVATE) LIMITED,2967601,-
3088,AL-KABIR TOWN (PVT.) LIMITED,7378985,"2,231,955"
3089,AL-KAHAF EDUCATIONAL TRUST,7394606,-
3090,ALKAN CORPORATION (PRIVATE) LIMITED,4233908,"37,210,547"
3091,AL-KANZ CARPETS (PRIVATE) LIMITED,999689,-
3092,AL-KARAM CLOTH MILLS (PRIVATE) LIMITED,7529726,-
3093,AL-KARAM CORPORATION (PRIVATE) LIMITED,1558761,-
3094,AL-KARAM DYEING (PRIVATE) LIMITED,2605235,"9 31,678"
3095,AL-KARAM FABRICS (PRIVATE) LIMITED,1525993,-
3096,AL-KARAM PAPER MILLS (PRIVATE) LIMITED,2610884,"4,681,694"
3097,AL-KARAM PROCESSING MILLS (PRIVATE) LIMITED,658502,"6,422,248"
3098,ALKARAM RICE ENGINEERING (PRIVATE) LIMITED,4015979,"4,237,552"
3099,AL-KARAM TANNERIES (PRIVATE) LIMITED.,1515166,"9 72,520"
3100,AL-KARAM TEXTILE MILLS (PRIVATE) LIMITED,698064,"109,518,809"
3101,AL-KARAM TOWEL INDUSTRIES (PVT.) LIMITED,2034872,"72,217,862"
3102,AL-KARAM TRAVELS (PRIVATE) LIMITED.,1019321,"6 48,292"
3103,AL-KAREEM WELFARE TRUST,3649826,-
3104,AL-KARIM EDUCATIONAL FOUNDATION,2562375,-
3105,AL-KARIM FLOUR MILLS (PRIVATE) LIMITED,3406523,-
3106,ALKARIM IMPEX (PRIVATE) LIMITED,4098441,-
3107,AL-KARIM INDUSTRIES (PRIVATE) LIMITED,913473,"1,647,398"
3108,AL-KARIM MARBLE & GRANITE (PVT.) LIMITED,7985709,"1 26,241"
3109,AL-KARIM SERVICES (PRIVATE) LIMITED,1941391,"79,974"
3110,AL-KARIMEE TRAVELS & TOURS (PRIVATE) LIMITED,2395521,"6 74,359"
3111,AL-KASHAN HAJJ & UMRAH (PRIVATE) LIMITED,4218942,-
3112,AL-KASIB TRAVELS & TOURS (PRIVATE) LIMITED,2912454,"2,517"
3113,AL-KAUSAR INTERNATIONAL (PRIVATE) LIMITED,7419165,758
3114,AL-KAZMAIN TRAVEL & TOURS (PRIVATE) LIMITED,4179119,-
3115,ALKE INSAAT SANAYE VE TICARET (PRIVATE) LIMITED,7995374,-
3116,AL-KEHKASHAN (PRIVATE) LIMITED,709521,-
3117,AL-KEMY PHARMACEUTICAL LABORATORIES (PRIVATE) LIMITED,786598,"1,008,368"
3118,AL-KHADIJA HAJJ SERVICES (PVT.) LIMITED,2635440,-
3119,AL-KHADIM TOURS HAJ AND UMRAH (PRIVATE) LIMITED,2462282,"5 70,500"
3120,AL-KHAIR CONSTRUCTION (PRIVATE) LIMITED.,3618698,-
3121,AL-KHAIR FOUNDATION,3792575,-
3122,AL-KHAIR GADOON LIMITED,94,"4,627,895"
3123,AL-KHAIR GLOBAL (PRIVATE) LIMITED,3403969,"9,094,549"
3124,ALKHAIR HOMOEOPATHIC EDUCATIONAL SOCIETY,2863524,-
3125,AL-KHAIR HOUSING(PRIVATE) LIMITED,4168480,-
3126,AL-KHAIR SERVICES FOR HAJJ & UMRAH (PRIVATE) LIMITED,2458417,"9 38,745"
3127,AL-KHAIR SHIFA HERBAL PHARMA (PRIVATE) LIMITED,7404916,-
3128,AL-KHAIR TRADING (PRIVATE) LIMITED,2586838,-
3129,AL-KHAIR TRUST,3954524,-
3130,AL-KHAIR TRUST,5105675,-
3131,AL-KHALEEJ ENERGY (PRIVATE) LIMITED,4359877,-
3132,AL-KHALEEJ EXCHANGE COMPANY-B (PRIVATE) LIMITED,2647550,"87,420"
3133,AL-KHALEEJ HAJJ SERVICES (PVT.) LIMITED,2461529,-
3134,AL-KHALID HAJJ & UMRAH SERVICES (PRIVATE) LIMITED,2460601,"3 61,642"
3135,AL-KHALID SECURITY SERVICES (PRIVATE) LIMITED,1292136,"1,591,741"
3136,AL-KHALIL CONSTRUCTION COMPANY (PRIVATE) LIMITED,3831275,"17,085,065"
3137,AL-KHALOOD INTERNATIONAL (PRIVATE) LIMITED,2585883,-
3138,AL-KHANDWANI INTERNATIONAL (PRIVATE) LIMITED,2461312,"5 10,896"
3139,AL-KHIDMAT AL-HAJERI HOSPITAL WELFARE TRUST,4099046,-
3140,AL-KHIDMAT FOUNDATION PAKISTAN,2569250,-
3141,ALKHIDMAT HEALTH FOUNDATION,7600330,-
3142,AL-KHIDMAT SEED COMPANY (PVT.) LIMITED,5465795,-
3143,AL-KHITAB HAJJ AND UMRAH SERVICES (PRIVATE) LIMITED,4188397,-
3144,AL-KISWA SERVICES (PRIVATE) LIMITED,2459669,"4 59,935"
3145,AL-KOUSAR WELFARE ORGANIZATION,3801661,"1,086,873"
3146,AL-KOUSAR WELFARE ORGANIZATION,7151780,-
3147,ALL PAK WELFARE SOCIETY,7123787,-
3148,ALL PAKISTAN ALUMINIUM UTENSILS MANUFACTURERS ASSOCIATION,7315552,"6,662"
3149,ALL PAKISTAN BEDSHEETS AND UPHOLSTRY MANUFACTURERS ASSOCIATION,2867923,-
3150,ALL PAKISTAN BUSINESS FORUM,4174121,-
3151,ALL PAKISTAN CEMENT DISTRIBUTORS ASSOCIATION,7888780,-
3152,ALL PAKISTAN CEMENT MANUFACTURERS ASSOCIATION,2876208,"1,001,903"
3153,ALL PAKISTAN CHINESE OVERSEAS YOUTH FEDERATION,8917528,-
3154,ALL PAKISTAN CNG ASSOCIATION,2647553,"29,971"
3155,ALL PAKISTAN CONTRACTORS ASSOCIATION,1426329,-
3156,ALL PAKISTAN COTTON POWER LOOMS ASSOCIATION,3127222,"24,368"
3157,ALL PAKISTAN FRUIT & VEGETABLE EXPORTERS IMPORTERS MERCHAT ASSOCIATION,3008141,-
3158,ALL PAKISTAN FURNITURE MAKERS ASSOCIATION,7903211,-
3159,ALL PAKISTAN HUSSAINI EDUCATIONAL SOCIETY KARACHI,4129054,"1,683,249"
3160,ALL PAKISTAN LPG DISTRIBUTORS ASSOCIATION,3141982,-
3161,ALL PAKISTAN MEMON FEDERATION,2929967,"84,319"
3162,ALL PAKISTAN NEWS PAPER SOCIETY,2546425,"82,697"
3163,ALL PAKISTAN NEWSPAPER EMPLOYEES CO-OPERATIVE HOUSING SOCIETY LIMITED,7931410,-
3164,ALL PAKISTAN OIL MILLS ASSOCEATION,4350457,-
3165,ALL PAKISTAN OIL TANKERS OWNERS ASSOCIATION,7915580,-
3166,ALL PAKISTAN OIL TANKERS OWNERS ASSOCIATION,7388069,-
3167,ALL PAKISTAN PAPER MERCHANTS ASSOCIATION,2917750,-
3168,ALL PAKISTAN PARTICLE BOARDS MANUFACTURERS ASSOCIATION,3187437,-
3169,ALL PAKISTAN PVC PIPE MANUFACTURERS ASSOCIATION,4161188,-
3170,ALL PAKISTAN RAJPUTANA FEDERATION,231159,"1,395,136"
3171,ALL PAKISTAN RESTAURANT ASSOCIATION,6563835,-
3172,ALL PAKISTAN SHIPPING ASSOCIATION,2928356,-
3173,ALL PAKISTAN SOLVENT EXTRACTORS ASSOCIATION,3403538,-
3174,ALL PAKISTAN STAINLESS STEEL IMPORTERS AND TRADERS ASSOCIATION,7472978,-
3175,ALL PAKISTAN TEXTILE MILLS ASSOCIATION,709578,"8 64,133"
3176,ALL PAKISTAN TEXTILE PROCESSING MILLS ASSOCIATION,2882026,-
3177,ALL PORTS SHIPPING (PRIVATE) LIMITED,7560840,-
3178,ALL SPORTS (PVT.) LIMITED,7559933,-
3179,ALL WORLD (PRIVATE) LIMITED,1508776,-
3180,ALLAGRO REAL ESTATE (PRIVATE) LIMITED,3228019,-
3181,ALLAH BAKHSH COTTON INDUSTRIES (PRIVATE) LIMITED,3010732,-
3182,ALLAH CONCERNS EDUCATIONAL NETWORK (PRIVATE) LIMITED,3953050,"1,108,319"
3183,ALLAH HOO IMPEX (SMC-PVT.) LIMITED,7127803,-
3184,ALLAH NIGHEBAN TRAVEL & TOURS (PRIVATE) LIMITED,3086513,-
3185,ALLAH TAWAKAL LIMITED,786024,-
3186,ALLAH TAWAKAL MANUFACTURING TRADING AND CONSTRUCTION COMPANY (PVT.) LI,2275725,"63,419"
3187,ALLAH WAALAY TRAVELS & TOURS (PRIVATE) LIMITED,2110836,"1 09,236"
3188,ALLAH WALA TRADERS (PRIVATE) LIMITED,659085,-
3189,ALLAH WALAY TRUST,7289411,-
3190,ALLAH YAR CONSTRUCTION COMPNAY (PRIVATE) LIMITED,8921689,-
3191,ALLAHDIN POWERS (PRIVATE) LIMITED,3920811,-
3192,ALLAHDIN STEEL & ROLLING MILLS (PRIVATE) LIMITED,4167216,-
3193,ALLAHU AKBAR TEXTILES (PRIVATE) LIMITED,4116439,"7 88,165"
3194,ALLAH-U-AKBAR HAJJ & UMRAH SERVICES (PRIVATE) LIMITED,2648142,"4 97,125"
3195,ALLAHWASAYA TRAVELS (PRIVATE) LIMITED,2459808,"15,777"
3196,ALLAINET (PRIVATE) LIMITED,2504267,"4 23,466"
3197,ALLAMA BANORI HAJJ & UMRA SERVICES (PRIVATE0 LIMITED.,2459671,"1,259,250"
3198,ALLAMA IQBAL MEMORIAL TRUST HOSPITAL,1423149,-
3199,ALLAMA IQBAL OPEN UNIVERSITY,9011002,-
3200,ALLANA BROTHERS (PRIVATE) LIMITED,2584033,-
3201,AL-LATIF TRAVELS (PRIVATE) LIMITED,3106073,"52,552"
3202,AL-LATIF WELFARE TRUST INTERNATIONAL,7171280,-
3203,ALLAUDDIN AND BROTHERS (PRIVATE) LIMITED,3260530,-
3204,ALLAWALA BROTHERS (PRIVATE) LIMITED.,1018686,"1,160,664"
3205,ALLAWASAYA SPINNING MILLS (PRIVATE) LIMITED,2195628,"12,402,831"
3206,ALLAWASAYA TEXTILE & FINISHING MILLS LIMITED,101071,"27,105,816"
3207,ALLCO TRANSFER PRINTERS (PRIVATE) LIMITED,676415,"8,587,560"
3208,ALLEN SURGICAL COMPANY (PRIVATE) LIMITED,1005765,"1 41,666"
3209,ALLENE (PRIVATE) LIMITED,3016643,-
3210,ALLEVIATE ADDICTION SUFFERING TRUST,1553205,-
3211,ALLEXCEL LEARNING & TESTING SERVICES (PVT.) LIMITED,7400801,-
3212,ALLIANCE (PRIVATE) LIMITED,2861382,-
3213,ALLIANCE ADVERTISING AND MARKETING (PVT.) LIMITED,7148339,-
3214,ALLIANCE APPAREL (PVT.) LIMITED,7229189,"11,389"
3215,ALLIANCE CHEMICALS (PVT.) LIMITED,7178172,"2,024,533"
3216,ALLIANCE ENERGY (PVT.) LIMITED,7364494,-
3217,ALLIANCE FOR VIABLE INNOVATIVE DEVELOPMENT (SMC-PRIVATE) LIMITED,8914777,-
3218,ALLIANCE FRANCAISE D' ISLAMABAD,2647556,"3 71,344"
3219,ALLIANCE FRANCAISE DE LAHORE (AFL) FOUNDATION,3955875,"1,488,840"
3220,ALLIANCE FRANCAISE KARACHI,3981043,-
3221,ALLIANCE HEALTH CARE ENOWMENT FUND SOCIETY,4309564,-
3222,ALLIANCE HEALTHCARE (PRIVATE) LIMITED,2275969,"28,778,927"
3223,ALLIANCE HOLDING (PRIVATE) LIMITED,709583,-
3224,ALLIANCE IN MOTION GLOBAL (PVT.) LIMITED,7247561,-
3225,ALLIANCE INDUSTRIES (PRIVATE) LIMITED,3424779,"3 39,914"
3226,ALLIANCE INVESTMENT MANGAEMENT LIMITED,2597227,"3,915,110"
3227,ALLIANCE MEDIA FZ LLC,5489708,-
3228,ALLIANCE MERCHANDISING CORPORATION (PRIVATE) LIMITED,3136705,"2 12,031"
3229,ALLIANCE PHARMACEUTICALS (PRIVATE) LIMITED,2250492,"1,651,000"
3230,ALLIANCE POWER (PRIVATE) LIMITED,8903690,-
3231,ALLIANCE RESOURCE (PRIVATE) LIMITED,2893248,"24,321,970"
3232,ALLIANCE RESOURCE EMPLOYEES PROVIDENT FUND,6368118,-
3233,ALLIANCE SUGAR MILLS (PRIVATE) LIMITED,3822046,-
3234,ALLIANCE TEXTILE MILLS LIMITED,658193,-
3235,ALLIANCE TRADEHOUSE (PRIVATE) LIMITED,2850918,"7 43,012"
3236,ALLIANCE WOOD PROCESSING INDUSTRIES (PRIVATE) LIMITED,2119475,-
3237,ALLIANCEBERNSTEIN ALLOCATIONS FRONTIER MARKETS - VALUE,4348393,-
3238,ALLIANCEBERNSTEIN NEXT 50 EMERGING MARKETS (MASTER) FUND SICAV-SIF S.C. SP,4360138,"32,851,869"
3239,ALLIANT ENERGY (PVT.) LIMITED,7921571,-
3240,ALLIANZ ASIAN SMALL CAP EQUITY,7924655,"1,146,177"
3241,ALLIANZ EFU HEALTH INSURANCE LIMITED,1163080,"36,314,444"
3242,ALLIANZ EFU HEALTH INSURANCE LIMITED EMPLOYEES PROVIDENT FUND,4426707,-
3243,ALLIANZ FIRE AND MARINE INSURANCE JAPAN LTD.,7907642,-
3244,ALLIANZ GLOBAL INVESTORS FUND - ALLIANZ EMERGING ASIA EQUITY,7907550,"8,240,323"
3245,ALLIANZ GLOBAL INVESTORS FUND - ALLIANZ LITTLE DRAGONS,7924697,"1,947,240"
3246,ALLIANZ GLOBAL INVESTORS SELECTION FUND PLC-ALLIANZ EMERGING MARKETS,3651263,-
3247,ALLIANZ INTERNATIONAL INVESTMENT FUNDS - ALLIANZ BEST STYLES GLOBAL AC EQUITY FUND,5104029,-
3248,ALLIANZ INTERNATIONAL INVESTMENT FUNDS - ALLIANZ EMERGING MARKETS EQUITY FUND,5127885,-
3249,ALLIANZ INTERNATIONAL INVESTMENT FUNDS - ALLIANZ TOTAL RETURN ASIAN EQUITY FUND,5137606,-
3250,ALLIANZ RCM EMERGING ASIA,3928135,-
3251,ALLIANZ RCM ORIENTAL INCOME,3927500,-
3252,ALLIANZGI-FONDS AFE,5045435,-
3253,ALLIANZGI-FONDS PF1,5229789,-
3254,ALLIED AXIOM CHEMICAL (PRIVATE) LIMITED,4041358,"2,034,599"
3255,ALLIED BANK LIMITED,801428,"6 ,973,641,916"
3256,ALLIED BUSINESS COMPANY (PVT.) LIMITED,7207994,-
3257,ALLIED BUSINESS MACHINES (PRIVATE) LIMITED,7571305,"8 79,013"
3258,ALLIED CAPITAL PROTECTED FUND,7902696,-
3259,ALLIED CARGO INTERNATIONAL (PRIVATE) LIMITED,3191087,"5,231"
3260,ALLIED CARPET INDUSTRIES (PVT.) LIMITED,2276204,"9,595"
3261,ALLIED CHEMICAL INDUSTRIES ( PRIVATE) LIMITED.,823832,-
3262,ALLIED COMMERCIAL ENTERPRISES (PRIVATE) LIMITED,2216291,"4,010,660"
3263,ALLIED CONSULTANTS (PRIVATE) LIMITED,3044197,-
3264,ALLIED CRANE SERVICES (PRIVATE) LIMITED,1743148,"4 20,056"
3265,ALLIED ELECTRON(PRIVATE) LIMITED,709588,-
3266,ALLIED ENGINEERING & SERVICES (PRIVATE) LIMITED,709589,"298,633,634"
3267,ALLIED ENGINEERING & SERVICES LTD - EMPLOYEE'S PROVIDENT FUND,7100419,-
3268,ALLIED ENGINEERING CONSULTANT (PRIVATE) LIMITED,786860,"6,187,879"
3269,ALLIED ENGINEERING MANAGEMENT COMPANY (PRIVATE) LIMITED,2559954,"7,938,050"
3270,ALLIED EXIMP (PVT) LIMITED,3963734,1
3271,ALLIED EXPRESS TRANSPORT (PVT.) LIMITED,7876536,-
3272,ALLIED FARMS (PVT.) LIMITED,711518,-
3273,ALLIED FEEDS FACTORY (PVT.) LIMITED,7308074,-
3274,ALLIED FERTILIZERS (PRIVATE) LIMITED,3983840,3
3275,ALLIED FLOUR MILLS (PRIVATE) LIMITED,172,"64,758"
3276,ALLIED FOOD COMPANY (PRIVATE) LIMITED,4009337,-
3277,ALLIED GHEE INDUSTRIES (PVT.) LIMITED,3049095,"1,578,198"
3278,ALLIED HEALTH SCIENCES EDUCATION (PRIVATE) LIMITED,3402409,-
3279,ALLIED IMPEX CORPORATION (PRIVATE) LIMITED,709592,"1,544,297"
